timestamp,x,y,z
13754.180071,-444.123565,-222.061783,-9806.022374
13754.180389,-370.102971,0.0,-10189.070123
13754.180707,0.0,74.020594,-9729.412825
13754.181025,-222.061783,148.041188,-9729.412825
13754.181342,0.0,296.082377,-10112.460574
13754.18166,0.0,444.123565,-9882.631924
13754.181978,74.020594,518.144159,-10265.679673
13754.182296,0.0,444.123565,-10418.898773
13754.182613,0.0,296.082377,-10572.117872
13754.182931,-148.041188,74.020594,-10189.070123
13754.183249,-222.061783,444.123565,-10265.679673
13754.183567,0.0,222.061783,-10265.679673
13754.183884,148.041188,370.102971,-10035.851024
13754.184202,74.020594,222.061783,-10112.460574
13754.18452,0.0,74.020594,-10342.289223
13754.184838,0.0,-444.123565,-10572.117872
13754.185155,-222.061783,-444.123565,-10342.289223
13754.185473,-518.144159,-370.102971,-10112.460574
13754.185791,-592.164754,-148.041188,-10418.898773
13754.186109,-444.123565,0.0,-10265.679673
13754.186426,0.0,296.082377,-10342.289223
13754.186744,-222.061783,296.082377,-10495.508323
13754.187062,-222.061783,222.061783,-10342.289223
13754.18738,-296.082377,444.123565,-10265.679673
13754.187697,-222.061783,592.164754,-9806.022374
13754.188015,-518.144159,148.041188,-10342.289223
13754.188333,-592.164754,222.061783,-9882.631924
13754.188651,-444.123565,0.0,-10189.070123
13754.188969,-518.144159,148.041188,-10112.460574
13754.189286,0.0,148.041188,-10112.460574
13754.189604,0.0,444.123565,-9959.241474
13754.189922,74.020594,444.123565,-10265.679673
13754.19024,74.020594,666.185348,-9882.631924
13754.190557,0.0,518.144159,-10342.289223
13754.190875,74.020594,0.0,-10112.460574
13754.191193,0.0,0.0,-10189.070123
13754.191511,0.0,-148.041188,-10112.460574
13754.191828,-222.061783,-148.041188,-9882.631924
13754.192146,-148.041188,0.0,-9959.241474
13754.192464,0.0,0.0,-10035.851024
13754.192782,0.0,0.0,-10112.460574
13754.193099,0.0,0.0,-10035.851024
13754.193417,-518.144159,-296.082377,-10189.070123
13754.193735,-592.164754,0.0,-10495.508323
13754.194053,-444.123565,0.0,-10495.508323
13754.19437,-518.144159,0.0,-10342.289223
13754.194688,-592.164754,222.061783,-10418.898773
13754.195006,-518.144159,444.123565,-10495.508323
13754.195324,0.0,518.144159,-10648.727422
13754.195641,-222.061783,518.144159,-10725.336972
13754.195959,-370.102971,444.123565,-10418.898773
13754.196277,-370.102971,370.102971,-10189.070123
13754.196595,-444.123565,74.020594,-10189.070123
13754.196913,-518.144159,-148.041188,-10112.460574
13754.19723,-666.185348,-148.041188,-10035.851024
13754.197548,-296.082377,-296.082377,-9882.631924
13754.197866,-222.061783,0.0,-9882.631924
13754.198184,0.0,0.0,-9806.022374
13754.198501,0.0,222.061783,-9806.022374
13754.198819,0.0,148.041188,-9882.631924
13754.199137,0.0,222.061783,-9959.241474
13754.199455,0.0,222.061783,-10112.460574
13754.199772,0.0,222.061783,-10112.460574
13754.20009,-222.061783,222.061783,-10265.679673
13754.200408,0.0,370.102971,-10572.117872
13754.200726,0.0,296.082377,-10112.460574
13754.201043,222.061783,74.020594,-10189.070123
13754.201361,0.0,518.144159,-10342.289223
13754.201679,0.0,592.164754,-10495.508323
13754.201997,-222.061783,148.041188,-10418.898773
13754.202314,-518.144159,0.0,-10418.898773
13754.202632,-444.123565,0.0,-9806.022374
13754.20295,-518.144159,-444.123565,-10189.070123
13754.203268,-518.144159,0.0,-10189.070123
13754.203585,-296.082377,0.0,-10265.679673
13754.203903,0.0,0.0,-10112.460574
13754.204221,370.102971,0.0,-10189.070123
13754.204539,-148.041188,148.041188,-10418.898773
13754.204856,-296.082377,0.0,-10495.508323
13754.205174,-592.164754,0.0,-10112.460574
13754.205492,-740.205942,0.0,-10265.679673
13754.20581,-296.082377,74.020594,-10418.898773
13754.206128,-592.164754,296.082377,-9959.241474
13754.206445,-222.061783,296.082377,-9882.631924
